Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Venue Country,Match Type,MOM
26*,30,21,3,1,123.8,5,not out,2,v Zimbabwe,Harare,12/6/10,Zimbabwe,T20I,No
DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Harare,6/13/10,Zimbabwe,T20I,No
28,28,19,5,0,147.36,1,bowled,1,v South Africa,Durban,9/1/11,South Africa,T20I,No
14,15,12,2,0,116.66,3,caught,1,v West Indies,Port of Spain,4/6/11,West Indies,T20I,No
4,5,5,0,0,80,4,caught,1,v England,Manchester,8/31/11,England,T20I,No
15,21,16,3,0,93.75,3,caught,1,v England,Eden Gardens,10/29/11,India,T20I,No
22,30,21,0,1,104.76,3,caught,2,v Australia,Sydney,1/2/12,Australia,T20I,No
31,29,24,3,0,129.16,3,caught,2,v Australia,Melbourne,3/2/12,Australia,T20I,No
DNB,-,-,-,-,-,-,-,2,v South Africa,Johannesburg,3/30/12,South Africa,T20I,No
68,65,48,11,1,141.66,3,caught,1,v Sri Lanka,Pallekele,7/8/12,Sri Lanka,T20I,Yes
70,67,41,10,1,170.73,2,caught,2,v New Zealand,Chennai,11/9/12,India,T20I,Yes
50,60,39,4,2,128.2,3,caught,1,v Afghanistan,Colombo (RPS),9/19/12,Sri Lanka,T20I,No
40,33,32,6,0,125,3,caught,1,v England,Colombo (RPS),9/23/12,Sri Lanka,T20I,No
15,18,13,2,0,115.38,3,caught,1,v Australia,Colombo (RPS),9/28/12,Sri Lanka,T20I,No
78*,61,61,8,2,127.86,3,not out,2,v Pakistan,Colombo (RPS),9/30/12,Sri Lanka,T20I,Yes
2,5,6,0,0,33.33,3,caught,1,v South Africa,Colombo (RPS),2/10/12,Sri Lanka,T20I,No
21,35,17,2,0,123.52,3,bowled,2,v England,Pune,12/20/12,India,T20I,No
38,25,20,7,0,190,3,lbw,1,v England,Wankhede,12/22/12,India,T20I,No
9,15,11,1,0,81.81,3,caught,1,v Pakistan,Bengaluru,12/25/12,India,T20I,No
27,31,22,3,0,122.72,3,run out,1,v Pakistan,Ahmedabad,12/28/12,India,T20I,No
29,26,22,2,1,131.81,4,caught,2,v Australia,Rajkot,10/10/13,India,T20I,No
36*,45,32,4,1,112.5,3,not out,2,v Pakistan,Mirpur,3/21/14,Bangladesh,T20I,No
54,51,41,5,1,131.7,3,bowled,2,v West Indies,Mirpur,3/23/14,Bangladesh,T20I,Yes
57*,66,50,3,1,114,3,not out,2,v Bangladesh,Mirpur,3/28/14,Bangladesh,T20I,Yes
23,23,22,2,1,104.54,3,caught,1,v Australia,Mirpur,3/30/14,Bangladesh,T20I,No
72*,67,44,5,2,163.63,3,not out,2,v South Africa,Mirpur,4/4/14,Bangladesh,T20I,Yes
77,75,58,5,4,132.75,3,run out,1,v Sri Lanka,Mirpur,6/4/14,Bangladesh,T20I,Yes
66,54,41,9,1,160.97,3,caught,2,v England,Birmingham,7/9/14,England,T20I,Yes
43,58,27,1,3,159.25,3,caught,1,v South Africa,Dharamsala,2/10/15,India,T20I,No
1,3,1,0,0,100,3,run out,1,v South Africa,Cuttack,5/10/15,India,T20I,No
90*,71,55,9,2,163.63,3,not out,1,v Australia,Adelaide,1/26/16,Australia,T20I,Yes
59*,44,33,7,1,178.78,3,not out,1,v Australia,Melbourne,1/29/16,Australia,T20I,Yes
50,49,36,2,1,138.88,3,bowled,2,v Australia,Sydney,1/31/16,Australia,T20I,No
7,13,12,1,0,58.33,3,caught,1,v Bangladesh,Mirpur,2/24/16,Bangladesh,T20I,No
49,71,51,7,0,96.07,3,lbw,2,v Pakistan,Mirpur,2/27/16,Bangladesh,T20I,No
56*,85,47,7,0,119.14,3,not out,2,v Sri Lanka,Mirpur,1/3/16,Bangladesh,T20I,Yes
DNB,-,-,-,-,-,-,-,2,v U.A.E.,Mirpur,3/3/16,Bangladesh,T20I,No
41*,62,28,5,0,146.42,3,not out,2,v Bangladesh,Mirpur,6/3/16,Bangladesh,T20I,No
23,56,27,2,0,85.18,3,caught,2,v New Zealand,Nagpur,3/15/16,India,T20I,No
55*,66,37,7,1,148.64,3,not out,2,v Pakistan,Eden Gardens,3/19/16,India,T20I,Yes
24,37,24,0,1,100,3,bowled,1,v Bangladesh,Bengaluru,3/23/16,India,T20I,No
82*,78,51,9,2,160.78,3,not out,2,v Australia,Mohali,3/27/16,India,T20I,Yes
89*,63,47,11,1,189.36,3,not out,1,v West Indies,Wankhede,3/31/16,India,T20I,Yes
16,8,9,3,0,177.77,3,caught,2,v West Indies,Lauderhill,8/27/16,USA,T20I,No
DNB,-,-,-,-,-,-,-,2,v West Indies,Lauderhill,8/28/16,USA,T20I,No
29,34,26,4,0,111.53,1,caught,1,v England,Kanpur,1/26/17,India,T20I,No
21,17,15,2,1,140,1,caught,1,v England,Nagpur,1/29/17,India,T20I,No
2,6,4,0,0,50,1,run out,1,v England,Bengaluru,1/2/17,India,T20I,No
39,19,22,7,1,177.27,1,caught,1,v West Indies,Kingston,9/7/17,West Indies,T20I,No
82,19,54,7,1,151.85,3,caught,2,v Sri Lanka,Colombo (RPS),6/9/17,Sri Lanka,T20I,Yes
22*,19,14,3,0,157.14,3,not out,2,v Australia,Ranchi,7/10/17,India,T20I,No
